,comm_2
1500,1146212825884442624
1501,1601735905
1502,852134565829365760
1503,853672513
1504,149584099
1505,1252586028713607168
1506,141337897
1507,2200487845
1508,497590829
1509,2861601397
1510,1192059792350728194
1511,3018440225
1512,1162557422340382722
1513,1275477911722774535
1514,903240108828221440
1515,1082408352368508933
1516,1350807029544316930
1517,175324823
1518,72543670
1519,761863878
1520,2884757092
1521,2318112896
1522,715295653161803777
1523,126523100
1524,1216441553817939968
1525,1150577748647251968
1526,3003741159
1527,1076577125149356032
1528,186560372
1529,2759869099
1530,938036214384545794
1531,1149412045894356992
1532,1065382617585995776
1533,742701881902927873
1534,1239473616
1535,4869662693
1536,1976827320
1537,79289921
1538,419895536
1539,739462811252854784
1540,424644011
1541,2352751943
1542,102751543
1543,1145646865
1544,151426839
1545,892379197678776320
1546,1148155031922847745
1547,527026096
1548,2212578840
1549,431221769
1550,2429040364
1551,190428674
1552,939878965
1553,725394863160741889
1554,1036066022086926336
1555,485275945
1556,1706058146
1557,928293058520772608
1558,939376399
1559,972741498
1560,1326647772
1561,146952802
1562,3955869305
1563,178408171
1564,1310289944942964736
1565,963324343
1566,890070960770101248
1567,558941106
1568,337805663
1569,2806244294
1570,40796831
1571,2535267889
1572,879862680
1573,60982903
1574,1275499329080430593
1575,130756246
1576,1234486162598830081
1577,797750017
1578,498184248
1579,1154503021713383438
1580,158116807
1581,1322060568
1582,2986757866
1583,158535128
1584,1213893975880290304
1585,628912277
1586,1102794380
1587,1250552788104491011
1588,4053210252
1589,476035377
1590,538185342
1591,375913051
1592,334352950
1593,393787499
1594,148152822
1595,1316056831148675072
1596,213446691
1597,590403496
1598,1205661024902402049
1599,131787803
1600,4872684603
1601,1187515309705617408
1602,1240018717754392578
1603,2757115833
1604,33350532
1605,573976162
1606,2420417441
1607,1011202061801787392
1608,198827590
1609,3225774183
1610,127640134
1611,781111322
1612,1689800868
1613,1055581588795351040
1614,1317920699042988033
1615,188056540
1616,1219042916
1617,1181197053260685312
1618,829893607326900224
1619,1206644986642604033
1620,489828134
1621,212420616
1622,398027198
1623,153316408
1624,986760422996004864
1625,1942435878
1626,365161396
1627,895850230859661312
1628,3826094975
1629,526455759
1630,980145299741081601
1631,4409446905
1632,1052626890505248769
1633,1905526932
1634,3480409841
1635,70763545
1636,211916492
1637,333049516
1638,925978333
1639,1337925288504811521
1640,1326881861461827584
1641,365173932
1642,916791848496136192
1643,4193967855
1644,1131890489500807168
1645,1399559065
1646,14165570
1647,1071106471478345728
1648,1159971119685951489
1649,1082804055741730816
1650,153866271
1651,1045038311503515649
1652,485431871
1653,2972432728
1654,4442573063
1655,885549109276536833
1656,71080518
1657,132310915
1658,1954793089
1659,1034579540809539584
1660,1253839300636049408
1661,875026738748817408
1662,147382943
1663,38436714
1664,155395750
1665,606067035
1666,313933283
1667,2349669231
1668,3135484221
1669,2789699959
1670,157846401
1671,1102193130085011456
1672,32554542
1673,90185866
1674,1965712266
1675,4871729465
1676,730195510645116929
1677,922055273463865344
1678,1883399930
1679,135620947
1680,141632545
1681,3438284351
1682,268986132
1683,507489602
1684,731637176077832192
1685,990008572342947840
1686,2817883142
1687,550457769
1688,870235934
1689,1230306905458925580
1690,820983705816727552
1691,1332709419277295616
1692,712335069453688832
1693,1231730617861234688
1694,1142147723501690880
1695,3018899183
1696,1292925322808221698
1697,549811709
1698,1221901031958884352
1699,857037983874248704
1700,226121207
1701,33667453
1702,144517140
1703,1324322851554549761
1704,826625524416000000
1705,226019892
1706,1004569926
1707,39343295
1708,160334695
1709,1029434045489393664
1710,83674599
1711,1221466997730443264
1712,206170151
1713,896466913102098432
1714,1291453552007811076
1715,122181701
1716,1195159054575980549
1717,977537073031806976
1718,935222954803200000
1719,558339920
1720,1273356830262153222
1721,1236853818375233537
1722,138902429
1723,2987590619
1724,1040060048209338369
1725,872584177841000449
