Fecha,Site,flow,Device,Loading,Shipping,Payments,Review,Congrats,missing,day_of_week,month,year,Shipping_ratio,Payments_ratio,Review_ratio,Congrats_ratio,TOTAL,input_on_Shipping,missing_on_Shipping,input_on_Payments,missing_on_Payments,input_on_Review,missing_on_Review,input_on_Congrats,missing_on_Congrats,anomaly
2019-03-06 00:00:00+00:00,MLA,direct,iOS,38656,35937,30342,23509,22048,False,2,3,2019,0.93,0.8440000000000001,0.775,0.938,0.614,False,False,False,False,False,False,False,False,False
2019-03-06 00:00:00+00:00,MLC,direct,Desktop,20343,20152,17342,14478,13679,False,2,3,2019,0.991,0.861,0.835,0.945,0.679,False,False,False,False,False,False,False,False,False
2019-03-06 00:00:00+00:00,MLC,direct,Mobile,17186,17034,13126,10073,8821,False,2,3,2019,0.991,0.7709999999999999,0.767,0.8759999999999999,0.518,False,False,False,False,False,False,False,False,False
2019-03-06 00:00:00+00:00,MLU,direct,Desktop,2097,2068,1854,1512,1476,False,2,3,2019,0.986,0.897,0.816,0.976,0.7140000000000001,False,False,False,False,False,False,False,False,True
2019-03-06 00:00:00+00:00,MLU,direct,Mobile,2685,2616,2188,1751,1675,False,2,3,2019,0.9740000000000001,0.836,0.8,0.9570000000000001,0.64,False,False,False,False,False,False,False,False,True
2019-03-07 00:00:00+00:00,MLA,cart,Android,0,8933,6636,4876,4557,False,3,3,2019,0.0,0.743,0.735,0.935,0.51,False,False,False,False,False,False,False,False,False
2019-03-07 00:00:00+00:00,MLA,cart,Desktop,0,7223,5634,4905,4775,False,3,3,2019,0.0,0.78,0.871,0.973,0.6609999999999999,False,False,False,False,False,False,False,False,False
2019-03-07 00:00:00+00:00,MLA,cart,Mobile,0,2986,2221,1580,1494,False,3,3,2019,0.0,0.7440000000000001,0.711,0.946,0.5,False,False,False,False,False,False,False,False,False
2019-03-07 00:00:00+00:00,MLA,cart,iOS,0,1627,1207,936,898,False,3,3,2019,0.0,0.742,0.775,0.9590000000000001,0.552,False,False,False,False,False,False,False,False,False
2019-03-07 00:00:00+00:00,MLA,direct,Android,197800,188350,154081,108500,101511,False,3,3,2019,0.9520000000000001,0.818,0.7040000000000001,0.9359999999999999,0.539,False,False,False,False,False,False,False,False,False
2019-03-07 00:00:00+00:00,MLA,direct,Desktop,127119,120994,105296,82652,80449,False,3,3,2019,0.9520000000000001,0.87,0.785,0.973,0.665,False,False,False,False,False,False,False,False,True
2019-03-07 00:00:00+00:00,MLA,direct,Mobile,85075,80186,62852,42868,40172,False,3,3,2019,0.943,0.784,0.682,0.937,0.501,False,False,False,False,False,False,False,False,True
2019-03-07 00:00:00+00:00,MLA,direct,iOS,38559,36189,30675,23484,22048,False,3,3,2019,0.9390000000000001,0.848,0.7659999999999999,0.9390000000000001,0.609,False,False,False,False,False,False,False,False,False
2019-03-07 00:00:00+00:00,MLC,direct,Desktop,18599,18405,15732,13026,12323,False,3,3,2019,0.99,0.855,0.828,0.946,0.67,False,False,False,False,False,False,False,False,False
2019-03-07 00:00:00+00:00,MLC,direct,Mobile,16179,16038,12165,9296,8180,False,3,3,2019,0.991,0.759,0.764,0.88,0.51,False,False,False,False,False,False,False,False,False
2019-03-07 00:00:00+00:00,MLU,direct,Desktop,1875,1843,1627,1354,1329,False,3,3,2019,0.983,0.883,0.8320000000000001,0.982,0.721,False,False,False,False,False,False,False,False,True
2019-03-07 00:00:00+00:00,MLU,direct,Mobile,2368,2326,1923,1516,1446,False,3,3,2019,0.982,0.8270000000000001,0.7879999999999999,0.9540000000000001,0.622,False,False,False,False,False,False,False,False,False
2019-03-08 00:00:00+00:00,MLA,cart,Android,0,7920,5959,4438,4145,False,4,3,2019,0.0,0.752,0.745,0.934,0.523,False,False,False,False,False,False,False,False,False
2019-03-08 00:00:00+00:00,MLA,cart,Desktop,0,6487,5133,4487,4384,False,4,3,2019,0.0,0.7909999999999999,0.8740000000000001,0.977,0.6759999999999999,False,False,False,False,False,False,False,False,False
2019-03-08 00:00:00+00:00,MLA,cart,Mobile,0,2683,2025,1411,1360,False,4,3,2019,0.0,0.755,0.6970000000000001,0.9640000000000001,0.507,False,False,False,False,False,False,False,False,False
2019-03-08 00:00:00+00:00,MLA,cart,iOS,0,1373,993,784,734,False,4,3,2019,0.0,0.723,0.79,0.9359999999999999,0.535,False,False,False,False,False,False,False,False,False
2019-03-08 00:00:00+00:00,MLA,direct,Android,178632,170334,140605,100134,93816,False,4,3,2019,0.9540000000000001,0.825,0.7120000000000001,0.937,0.551,False,False,False,False,False,False,False,False,True
